car_probabilities_1,car_probabilities_2,ALPHA,GAMMA,Use_Q_Matrix,Fixed_time_light_change,SIMULATION_TIME,vehicles_stopped,cars_passed
0.2,0.2,0.65,0.55,1,0,100000,27735,39808
0.2,0.2,0.65,0.6,1,0,100000,29083,40113
0.2,0.2,0.65,0.65,1,0,100000,28540,40130
0.2,0.2,0.65,0.7,1,0,100000,27361,40242
0.2,0.2,0.65,0.75,1,0,100000,28617,40115
0.2,0.2,0.65,0.8,1,0,100000,30009,40281
0.2,0.2,0.65,0.85,1,0,100000,28320,40038
0.2,0.2,0.65,0.9,1,0,100000,27686,40114
0.2,0.2,0.7,0.1,1,0,100000,29955,40062
0.2,0.2,0.7,0.15,1,0,100000,29789,39982
0.2,0.2,0.7,0.2,1,0,100000,29685,40000
0.2,0.2,0.7,0.25,1,0,100000,28440,40023
0.2,0.2,0.7,0.3,1,0,100000,27680,40090
0.2,0.2,0.7,0.35,1,0,100000,26623,40005
0.2,0.2,0.7,0.4,1,0,100000,28371,39927
0.2,0.2,0.7,0.45,1,0,100000,26827,39929
0.2,0.2,0.7,0.5,1,0,100000,28616,40083
0.2,0.2,0.7,0.55,1,0,100000,28909,40315
0.2,0.2,0.7,0.6,1,0,100000,27252,39978
0.2,0.2,0.7,0.65,1,0,100000,27020,40109
0.2,0.2,0.7,0.7,1,0,100000,26768,39861
0.2,0.2,0.7,0.75,1,0,100000,27143,39820
0.2,0.2,0.7,0.8,1,0,100000,27435,40005
0.2,0.2,0.7,0.85,1,0,100000,26628,39799
0.2,0.2,0.7,0.9,1,0,100000,28686,40018
0.2,0.2,0.75,0.1,1,0,100000,29338,40087
0.2,0.2,0.75,0.15,1,0,100000,27932,40037
0.2,0.2,0.75,0.2,1,0,100000,27666,40219
0.2,0.2,0.75,0.25,1,0,100000,28190,40054
0.2,0.2,0.75,0.3,1,0,100000,27772,40078
0.2,0.2,0.75,0.35,1,0,100000,28365,40442
0.2,0.2,0.75,0.4,1,0,100000,27641,39743
0.2,0.2,0.75,0.45,1,0,100000,27403,40048
0.2,0.2,0.75,0.5,1,0,100000,27034,39555
0.2,0.2,0.75,0.55,1,0,100000,27662,39866
0.2,0.2,0.75,0.6,1,0,100000,27980,40299
0.2,0.2,0.75,0.65,1,0,100000,27069,39991
0.2,0.2,0.75,0.7,1,0,100000,28176,40340
0.2,0.2,0.75,0.75,1,0,100000,27525,39756
0.2,0.2,0.75,0.8,1,0,100000,27686,40338
0.2,0.2,0.75,0.85,1,0,100000,27019,40036
0.2,0.2,0.75,0.9,1,0,100000,27332,39927
0.2,0.2,0.8,0.1,1,0,100000,29055,40266
0.2,0.2,0.8,0.15,1,0,100000,28492,39934
0.2,0.2,0.8,0.2,1,0,100000,27412,40013
0.2,0.2,0.8,0.25,1,0,100000,27815,39939
0.2,0.2,0.8,0.3,1,0,100000,27584,39888
0.2,0.2,0.8,0.35,1,0,100000,27447,39863
0.2,0.2,0.8,0.4,1,0,100000,27840,39878
0.2,0.2,0.8,0.45,1,0,100000,27933,40363
0.2,0.2,0.8,0.5,1,0,100000,27473,39923
0.2,0.2,0.8,0.55,1,0,100000,26935,40088
0.2,0.2,0.8,0.6,1,0,100000,28326,40292
0.2,0.2,0.8,0.65,1,0,100000,27951,40236
0.2,0.2,0.8,0.7,1,0,100000,28190,40225
0.2,0.2,0.8,0.75,1,0,100000,27299,40004
0.2,0.2,0.8,0.8,1,0,100000,27319,40079
0.2,0.2,0.8,0.85,1,0,100000,26673,40044
0.2,0.2,0.8,0.9,1,0,100000,27943,40053
0.2,0.2,0.85,0.1,1,0,100000,28417,40097
0.2,0.2,0.85,0.15,1,0,100000,28274,39988
0.2,0.2,0.85,0.2,1,0,100000,26964,39699
0.2,0.2,0.85,0.25,1,0,100000,28193,40219
0.2,0.2,0.85,0.3,1,0,100000,29223,40213
0.2,0.2,0.85,0.35,1,0,100000,27746,40113
0.2,0.2,0.85,0.4,1,0,100000,27482,39984
0.2,0.2,0.85,0.45,1,0,100000,26765,39791
0.2,0.2,0.85,0.5,1,0,100000,27508,40189
0.2,0.2,0.85,0.55,1,0,100000,27643,40126
0.2,0.2,0.85,0.6,1,0,100000,27332,39877
0.2,0.2,0.85,0.65,1,0,100000,26314,39594
0.2,0.2,0.85,0.7,1,0,100000,27091,40097
0.2,0.2,0.85,0.75,1,0,100000,27599,40096
0.2,0.2,0.85,0.8,1,0,100000,27657,39788
0.2,0.2,0.85,0.85,1,0,100000,26337,39808
0.2,0.2,0.85,0.9,1,0,100000,27492,40087
0.2,0.2,0.9,0.1,1,0,100000,26904,39836
